# Consumption of commodities that are traded between GCAM regions
region,supplysector,subsector,technology,year,calOutputValue,share.weight.year,subs.share.weight,tech.share.weight
USA,regional corn,imported corn,imported corn,1975,0,1975,0,0
Africa_Eastern,regional corn,imported corn,imported corn,1975,0,1975,0,0
Africa_Northern,regional corn,imported corn,imported corn,1975,0.5399829,1975,1,1
Africa_Southern,regional corn,imported corn,imported corn,1975,0,1975,0,0
Africa_Western,regional corn,imported corn,imported corn,1975,0.1706538,1975,1,1
Australia_NZ,regional corn,imported corn,imported corn,1975,0,1975,0,0
Brazil,regional corn,imported corn,imported corn,1975,0,1975,0,0
Canada,regional corn,imported corn,imported corn,1975,0.8742111,1975,1,1
Central America and Caribbean,regional corn,imported corn,imported corn,1975,0.749534,1975,1,1
Central Asia,regional corn,imported corn,imported corn,1975,0.5327985,1975,1,1
China,regional corn,imported corn,imported corn,1975,0.5097488,1975,1,1
EU-12,regional corn,imported corn,imported corn,1975,1.383515,1975,1,1
EU-15,regional corn,imported corn,imported corn,1975,21.0361615,1975,1,1
Europe_Eastern,regional corn,imported corn,imported corn,1975,1.3995691,1975,1,1
Europe_Non_EU,regional corn,imported corn,imported corn,1975,0,1975,0,0
European Free Trade Association,regional corn,imported corn,imported corn,1975,0.3978349,1975,1,1
India,regional corn,imported corn,imported corn,1975,0.0166149,1975,1,1
Indonesia,regional corn,imported corn,imported corn,1975,0,1975,0,0
Japan,regional corn,imported corn,imported corn,1975,8.1267822,1975,1,1
Mexico,regional corn,imported corn,imported corn,1975,1.5371378,1975,1,1
Middle East,regional corn,imported corn,imported corn,1975,0.7197665,1975,1,1
Pakistan,regional corn,imported corn,imported corn,1975,0.0031992,1975,1,1
Russia,regional corn,imported corn,imported corn,1975,3.6915054,1975,1,1
South Africa,regional corn,imported corn,imported corn,1975,0,1975,0,0
South America_Northern,regional corn,imported corn,imported corn,1975,0.3678341,1975,1,1
South America_Southern,regional corn,imported corn,imported corn,1975,0.2165526,1975,1,1
South Asia,regional corn,imported corn,imported corn,1975,0.0056433,1975,1,1
South Korea,regional corn,imported corn,imported corn,1975,0.7545961,1975,1,1
Southeast Asia,regional corn,imported corn,imported corn,1975,0,1975,0,0
Taiwan,regional corn,imported corn,imported corn,1975,1.5223877,1975,1,1
Argentina,regional corn,imported corn,imported corn,1975,0,1975,0,0
Colombia,regional corn,imported corn,imported corn,1975,0.0501475,1975,1,1
USA,regional corn,imported corn,imported corn,1990,0,1990,0,0
Africa_Eastern,regional corn,imported corn,imported corn,1990,0.0154794,1990,1,1
Africa_Northern,regional corn,imported corn,imported corn,1990,2.9372005,1990,1,1
Africa_Southern,regional corn,imported corn,imported corn,1990,1.0782497,1990,1,1
Africa_Western,regional corn,imported corn,imported corn,1990,0.147262,1990,1,1
Australia_NZ,regional corn,imported corn,imported corn,1990,0,1990,0,0
Brazil,regional corn,imported corn,imported corn,1990,0.4204046,1990,1,1
Canada,regional corn,imported corn,imported corn,1990,0.4036983,1990,1,1
Central America and Caribbean,regional corn,imported corn,imported corn,1990,1.6472863,1990,1,1
Central Asia,regional corn,imported corn,imported corn,1990,1.1625723,1990,1,1
China,regional corn,imported corn,imported corn,1990,0,1990,0,0
EU-12,regional corn,imported corn,imported corn,1990,1.0838173,1990,1,1
EU-15,regional corn,imported corn,imported corn,1990,2.1251661,1990,1,1
Europe_Eastern,regional corn,imported corn,imported corn,1990,3.2157409,1990,1,1
Europe_Non_EU,regional corn,imported corn,imported corn,1990,0,1990,0,0
European Free Trade Association,regional corn,imported corn,imported corn,1990,0.1634982,1990,1,1
India,regional corn,imported corn,imported corn,1990,0.0542531,1990,1,1
Indonesia,regional corn,imported corn,imported corn,1990,0,1990,0,0
Japan,regional corn,imported corn,imported corn,1990,16.313658,1990,1,1
Mexico,regional corn,imported corn,imported corn,1990,2.7496966,1990,1,1
Middle East,regional corn,imported corn,imported corn,1990,2.79787,1990,1,1
Pakistan,regional corn,imported corn,imported corn,1990,0.0055766,1990,1,1
Russia,regional corn,imported corn,imported corn,1990,8.255335,1990,1,1
South Africa,regional corn,imported corn,imported corn,1990,0,1990,0,0
South America_Northern,regional corn,imported corn,imported corn,1990,0.427022,1990,1,1
South America_Southern,regional corn,imported corn,imported corn,1990,0.6932024,1990,1,1
South Asia,regional corn,imported corn,imported corn,1990,0.0376578,1990,1,1
South Korea,regional corn,imported corn,imported corn,1990,6.0799516,1990,1,1
Southeast Asia,regional corn,imported corn,imported corn,1990,1.0015052,1990,1,1
Taiwan,regional corn,imported corn,imported corn,1990,5.0324629,1990,1,1
Argentina,regional corn,imported corn,imported corn,1990,0,1990,0,0
Colombia,regional corn,imported corn,imported corn,1990,0.1188302,1990,1,1
USA,regional corn,imported corn,imported corn,2005,0,2005,0,0
Africa_Eastern,regional corn,imported corn,imported corn,2005,0.3550951,2005,1,1
Africa_Northern,regional corn,imported corn,imported corn,2005,8.3503581,2005,1,1
Africa_Southern,regional corn,imported corn,imported corn,2005,1.1685189,2005,1,1
Africa_Western,regional corn,imported corn,imported corn,2005,0.3797429,2005,1,1
Australia_NZ,regional corn,imported corn,imported corn,2005,0.0309234,2005,1,1
Brazil,regional corn,imported corn,imported corn,2005,0,2005,0,0
Canada,regional corn,imported corn,imported corn,2005,2.2081027,2005,1,1
Central America and Caribbean,regional corn,imported corn,imported corn,2005,4.3278784,2005,1,1
Central Asia,regional corn,imported corn,imported corn,2005,0.0822029,2005,1,1
China,regional corn,imported corn,imported corn,2005,0,2005,0,0
EU-12,regional corn,imported corn,imported corn,2005,0,2005,0,0
EU-15,regional corn,imported corn,imported corn,2005,6.8098591,2005,1,1
Europe_Eastern,regional corn,imported corn,imported corn,2005,0,2005,0,0
